strategy,final_cost_EUR,final_avg_price_EUR_per_MWh,saving_vs_UNHEDGED_EUR,monthly_price_std_EUR_per_MWh,monthly_price_range_EUR_per_MWh,abs_residual_DA_MWh,residual_load_RMSE_MWh_per_qh,C_imb_EUR,Premium_imb_EUR
UNHEDGED,3537207.830746404,81.99749248488159,0.0,20.15327243078758,58.42836683626433,43000.00000000001,1.3191716406911724,30503.8397627641,13589.243934739856
COARSE_CAL,3481470.4832225456,80.70542174620792,55737.347523858305,2.432382111593312,9.076720587443859,12760.12913578706,0.4416553502353812,30503.8397627641,13589.243934739856
GRANULAR,3482011.1838167855,80.7179559525747,55196.64692961844,18.563087444318416,47.08396989901578,11985.146990050538,0.4213221218011873,30503.8397627641,13589.243934739856
