timestamp_utc,load_mwh,hedge_coarse_cal_mwh,hedge_granular_mwh,hedge_unhedged_mwh
2023-12-31T23:00:00Z,1.077136,1.0979940165499635,1.260913654443696,0.0
2023-12-31T23:15:00Z,1.003301,1.0979940165499635,1.260913654443696,0.0
2023-12-31T23:30:00Z,0.933171,1.0979940165499635,1.260913654443696,0.0
2023-12-31T23:45:00Z,0.8657109999999999,1.0979940165499635,1.260913654443696,0.0
2024-01-01T00:00:00Z,0.800915,1.0979940165499635,1.260913654443696,0.0
2024-01-01T00:15:00Z,0.741765,1.0979940165499635,1.260913654443696,0.0
2024-01-01T00:30:00Z,0.689202,1.0979940165499635,1.260913654443696,0.0
2024-01-01T00:45:00Z,0.64641,1.0979940165499635,1.260913654443696,0.0
2024-01-01T01:00:00Z,0.6151639999999999,1.0979940165499635,1.260913654443696,0.0
2024-01-01T01:15:00Z,0.5926369999999999,1.0979940165499635,1.260913654443696,0.0
2024-01-01T01:30:00Z,0.575596,1.0979940165499635,1.260913654443696,0.0
2024-01-01T01:45:00Z,0.5635929999999999,1.0979940165499635,1.260913654443696,0.0
2024-01-01T02:00:00Z,0.5522919999999999,1.0979940165499635,1.260913654443696,0.0
2024-01-01T02:15:00Z,0.541627,1.0979940165499635,1.260913654443696,0.0
2024-01-01T02:30:00Z,0.532488,1.0979940165499635,1.260913654443696,0.0
2024-01-01T02:45:00Z,0.524543,1.0979940165499635,1.260913654443696,0.0
2024-01-01T03:00:00Z,0.516748,1.0979940165499635,1.260913654443696,0.0
2024-01-01T03:15:00Z,0.511229,1.0979940165499635,1.260913654443696,0.0
2024-01-01T03:30:00Z,0.508124,1.0979940165499635,1.260913654443696,0.0
2024-01-01T03:45:00Z,0.506546,1.0979940165499635,1.260913654443696,0.0
2024-01-01T04:00:00Z,0.50799,1.0979940165499635,1.260913654443696,0.0
2024-01-01T04:15:00Z,0.511265,1.0979940165499635,1.260913654443696,0.0
2024-01-01T04:30:00Z,0.51761,1.0979940165499635,1.260913654443696,0.0
2024-01-01T04:45:00Z,0.5264319999999999,1.0979940165499635,1.260913654443696,0.0
2024-01-01T05:00:00Z,0.5387139999999999,1.0979940165499635,1.260913654443696,0.0
2024-01-01T05:15:00Z,0.553083,1.0979940165499635,1.260913654443696,0.0
2024-01-01T05:30:00Z,0.570237,1.0979940165499635,1.260913654443696,0.0
2024-01-01T05:45:00Z,0.589942,1.0979940165499635,1.260913654443696,0.0
2024-01-01T06:00:00Z,0.6151319999999999,1.0979940165499635,1.260913654443696,0.0
2024-01-01T06:15:00Z,0.6510830000000001,1.0979940165499635,1.260913654443696,0.0
2024-01-01T06:30:00Z,0.7077339999999999,1.0979940165499635,1.260913654443696,0.0
2024-01-01T06:45:00Z,0.79382,1.0979940165499635,1.260913654443696,0.0
2024-01-01T07:00:00Z,0.913385,1.5691057262391757,1.8436576219379572,0.0
2024-01-01T07:15:00Z,1.058642,1.5691057262391757,1.8436576219379572,0.0
2024-01-01T07:30:00Z,1.215469,1.5691057262391757,1.8436576219379572,0.0
2024-01-01T07:45:00Z,1.3693799999999998,1.5691057262391757,1.8436576219379572,0.0
2024-01-01T08:00:00Z,1.5112069999999995,1.5691057262391757,1.8436576219379572,0.0
2024-01-01T08:15:00Z,1.638974,1.5691057262391757,1.8436576219379572,0.0
2024-01-01T08:30:00Z,1.753487,1.5691057262391757,1.8436576219379572,0.0
2024-01-01T08:45:00Z,1.855158,1.5691057262391757,1.8436576219379572,0.0
2024-01-01T09:00:00Z,1.945686,1.5691057262391757,1.8436576219379572,0.0
2024-01-01T09:15:00Z,2.029166,1.5691057262391757,1.8436576219379572,0.0
2024-01-01T09:30:00Z,2.109165,1.5691057262391757,1.8436576219379572,0.0
2024-01-01T09:45:00Z,2.192278,1.5691057262391757,1.8436576219379572,0.0
2024-01-01T10:00:00Z,2.27872,1.5691057262391757,1.8436576219379572,0.0
2024-01-01T10:15:00Z,2.361737,1.5691057262391757,1.8436576219379572,0.0
2024-01-01T10:30:00Z,2.430386,1.5691057262391757,1.8436576219379572,0.0
2024-01-01T10:45:00Z,2.475389,1.5691057262391757,1.8436576219379572,0.0
2024-01-01T11:00:00Z,2.4873549999999995,1.5691057262391757,1.8436576219379572,0.0
2024-01-01T11:15:00Z,2.4670469999999995,1.5691057262391757,1.8436576219379572,0.0
2024-01-01T11:30:00Z,2.416587,1.5691057262391757,1.8436576219379572,0.0
2024-01-01T11:45:00Z,2.337472,1.5691057262391757,1.8436576219379572,0.0
2024-01-01T12:00:00Z,2.234889,1.5691057262391757,1.8436576219379572,0.0
2024-01-01T12:15:00Z,2.116048,1.5691057262391757,1.8436576219379572,0.0
2024-01-01T12:30:00Z,1.99173,1.5691057262391757,1.8436576219379572,0.0
2024-01-01T12:45:00Z,1.873126,1.5691057262391757,1.8436576219379572,0.0
2024-01-01T13:00:00Z,1.7672409999999998,1.5691057262391757,1.8436576219379572,0.0
2024-01-01T13:15:00Z,1.675496,1.5691057262391757,1.8436576219379572,0.0
2024-01-01T13:30:00Z,1.597371,1.5691057262391757,1.8436576219379572,0.0
2024-01-01T13:45:00Z,1.5320740000000002,1.5691057262391757,1.8436576219379572,0.0
2024-01-01T14:00:00Z,1.4792539999999998,1.5691057262391757,1.8436576219379572,0.0
2024-01-01T14:15:00Z,1.433409,1.5691057262391757,1.8436576219379572,0.0
2024-01-01T14:30:00Z,1.3946070000000002,1.5691057262391757,1.8436576219379572,0.0
2024-01-01T14:45:00Z,1.356399,1.5691057262391757,1.8436576219379572,0.0
2024-01-01T15:00:00Z,1.320089,1.5691057262391757,1.8436576219379572,0.0
2024-01-01T15:15:00Z,1.294342,1.5691057262391757,1.8436576219379572,0.0
2024-01-01T15:30:00Z,1.289935,1.5691057262391757,1.8436576219379572,0.0
2024-01-01T15:45:00Z,1.321236,1.5691057262391757,1.8436576219379572,0.0
2024-01-01T16:00:00Z,1.393014,1.5691057262391757,1.8436576219379572,0.0
2024-01-01T16:15:00Z,1.4953029999999998,1.5691057262391757,1.8436576219379572,0.0
2024-01-01T16:30:00Z,1.6106440000000002,1.5691057262391757,1.8436576219379572,0.0
2024-01-01T16:45:00Z,1.723606,1.5691057262391757,1.8436576219379572,0.0
2024-01-01T17:00:00Z,1.820847,1.5691057262391757,1.8436576219379572,0.0
2024-01-01T17:15:00Z,1.903571,1.5691057262391757,1.8436576219379572,0.0
2024-01-01T17:30:00Z,1.978286,1.5691057262391757,1.8436576219379572,0.0
2024-01-01T17:45:00Z,2.0481499999999997,1.5691057262391757,1.8436576219379572,0.0
