timestamp_utc,HB,GB,LB,total
2023-12-31T23:00:00Z,0.94885,0.09422999999999998,0.034055999999999996,1.077136
2023-12-31T23:15:00Z,0.879445,0.09094799999999997,0.03290799999999999,1.003301
2023-12-31T23:30:00Z,0.8132949999999999,0.08781599999999998,0.03206,0.9331709999999999
2023-12-31T23:45:00Z,0.749315,0.08498399999999998,0.031411999999999995,0.8657109999999999
2024-01-01T00:00:00Z,0.687505,0.08244599999999998,0.030963999999999995,0.800915
2024-01-01T00:15:00Z,0.631085,0.08006399999999998,0.030615999999999997,0.741765
2024-01-01T00:30:00Z,0.58121,0.07767599999999998,0.030315999999999996,0.689202
2024-01-01T00:45:00Z,0.5411,0.07529399999999999,0.030015999999999998,0.64641
2024-01-01T01:00:00Z,0.51289,0.07260599999999999,0.029667999999999996,0.6151639999999999
2024-01-01T01:15:00Z,0.493395,0.06992399999999999,0.029317999999999997,0.5926369999999999
2024-01-01T01:30:00Z,0.47929000000000005,0.06738599999999999,0.028919999999999998,0.575596
2024-01-01T01:45:00Z,0.4695249999999999,0.06544799999999998,0.028619999999999996,0.5635929999999999
2024-01-01T02:00:00Z,0.45976,0.06410999999999999,0.028421999999999996,0.5522919999999999
2024-01-01T02:15:00Z,0.449995,0.06335999999999999,0.028271999999999995,0.541627
2024-01-01T02:30:00Z,0.44135,0.06291599999999999,0.028221999999999997,0.532488
2024-01-01T02:45:00Z,0.433755,0.06261599999999999,0.028171999999999996,0.524543
2024-01-01T03:00:00Z,0.42616,0.06246599999999999,0.028121999999999998,0.516748
2024-01-01T03:15:00Z,0.420735,0.06232199999999999,0.028171999999999996,0.511229
2024-01-01T03:30:00Z,0.41748,0.06232199999999999,0.028321999999999996,0.508124
2024-01-01T03:45:00Z,0.41531,0.06261599999999999,0.028619999999999996,0.506546
2024-01-01T04:00:00Z,0.41531,0.06351,0.029169999999999998,0.50799
2024-01-01T04:15:00Z,0.416395,0.064704,0.030165999999999995,0.511265
2024-01-01T04:30:00Z,0.41965,0.06619799999999998,0.031762,0.51761
2024-01-01T04:45:00Z,0.42399,0.06828599999999999,0.034156,0.5264319999999999
2024-01-01T05:00:00Z,0.4305,0.07066799999999998,0.037545999999999996,0.5387139999999999
2024-01-01T05:15:00Z,0.438095,0.07305599999999998,0.041932,0.553083
2024-01-01T05:30:00Z,0.447825,0.07514399999999999,0.047268,0.570237
2024-01-01T05:45:00Z,0.45976,0.07663199999999998,0.05354999999999999,0.589942
2024-01-01T06:00:00Z,0.47712,0.07723199999999998,0.060779999999999994,0.6151319999999999
2024-01-01T06:15:00Z,0.505295,0.07708199999999998,0.06870599999999999,0.6510830000000001
2024-01-01T06:30:00Z,0.55412,0.07633199999999998,0.07728199999999999,0.7077339999999999
2024-01-01T06:45:00Z,0.63217,0.07529399999999999,0.08635599999999999,0.79382
2024-01-01T07:00:00Z,0.743855,0.07394999999999999,0.09557999999999998,0.913385
2024-01-01T07:15:00Z,0.88158,0.07305599999999998,0.10400599999999999,1.058642
2024-01-01T07:30:00Z,1.032325,0.07275599999999999,0.11038799999999999,1.215469
2024-01-01T07:45:00Z,1.18195,0.07379999999999998,0.11362999999999998,1.3693799999999998
2024-01-01T08:00:00Z,1.321845,0.07648199999999998,0.11287999999999998,1.5112069999999997
2024-01-01T08:15:00Z,1.44977,0.08021399999999998,0.10898999999999999,1.638974
2024-01-01T08:30:00Z,1.565795,0.08468399999999998,0.10300799999999999,1.753487
2024-01-01T08:45:00Z,1.66992,0.08915999999999998,0.09607799999999998,1.8551579999999999
2024-01-01T09:00:00Z,1.76316,0.09332999999999998,0.08919599999999998,1.945686
2024-01-01T09:15:00Z,1.84884,0.09706199999999998,0.08326399999999999,2.029166
2024-01-01T09:30:00Z,1.930145,0.10019399999999999,0.078826,2.109165
2024-01-01T09:45:00Z,2.01257,0.10302599999999998,0.07668199999999999,2.192278
2024-01-01T10:00:00Z,2.09608,0.10555799999999997,0.077082,2.27872
2024-01-01T10:15:00Z,2.175215,0.10764599999999998,0.07887599999999999,2.361737
2024-01-01T10:30:00Z,2.24028,0.10958399999999997,0.080522,2.430386
2024-01-01T10:45:00Z,2.283645,0.11137199999999997,0.08037199999999999,2.475389
2024-01-01T11:00:00Z,2.296665,0.11331,0.07737999999999999,2.4873549999999995
2024-01-01T11:15:00Z,2.279305,0.11524799999999996,0.07249399999999999,2.4670469999999995
2024-01-01T11:30:00Z,2.232685,0.11689199999999997,0.06700999999999999,2.416587
