timestamp_utc,day_ahead_price_eur_mwh,load_mwh,hedge_unhedged_mwh,hedge_coarse_cal_mwh,hedge_granular_mwh,R_DA_UNHEDGED,R_DA_COARSE_CAL,R_DA_GRANULAR,total_actual_mwh,imbalance_volume_mwh,imbalance_price_eur_mwh,total_cost_UNHEDGED,total_cost_COARSE_CAL,total_cost_GRANULAR
2024-12-09T23:00:00Z,92.85,0.8395349999999999,0.0,1.0979940165499638,1.1640371933108506,0.8395349999999999,-0.2584590165499638,-0.3245021933108507,0.86512526,0.02559026,34.76,78.84034218759999,61.72261546958607,88.78121981847467
2024-12-09T23:15:00Z,92.85,0.762733,0.0,1.0979940165499638,1.1640371933108506,0.762733,-0.3352610165499637,-0.4013041933108506,0.78195925,0.01922625,18.62,71.177751825,54.060025106986075,81.11862945587467
2024-12-09T23:30:00Z,92.85,0.695417,0.0,1.0979940165499638,1.1640371933108506,0.695417,-0.4025770165499638,-0.4686201933108507,0.71100448,0.01558748,-7.25,64.45645921999999,47.33873250198606,74.39733685087465
2024-12-09T23:45:00Z,92.85,0.638273,0.0,1.0979940165499638,1.1640371933108506,0.638273,-0.4597210165499638,-0.5257641933108507,0.65366714,0.01539414,-22.52,58.916972017199996,41.79924529918607,68.85784964807466
2024-12-10T00:00:00Z,89.33,0.595553,0.0,1.0979940165499638,1.1640371933108506,0.595553,-0.5024410165499638,-0.5684841933108506,0.60943254,0.01387954,30.91,53.6297660714,40.37697829164194,67.66805462272886
2024-12-10T00:15:00Z,89.33,0.565248,0.0,1.0979940165499638,1.1640371933108506,0.565248,-0.5327460165499638,-0.5987891933108507,0.58232716,0.0170791599999999,12.43,50.705897798799995,37.45311001904194,64.74418635012886
2024-12-10T00:30:00Z,89.33,0.544967,0.0,1.0979940165499638,1.1640371933108506,0.544967,-0.5530270165499638,-0.6190701933108507,0.55861675,0.01364975,15.67,48.89579369249999,35.643005912741934,62.934082243828854
2024-12-10T00:45:00Z,89.33,0.531299,0.0,1.0979940165499638,1.1640371933108506,0.531299,-0.5666950165499638,-0.6327381933108507,0.54888648,0.0175874799999999,0.2,47.464457165999995,34.21166938624194,61.50274571732886
2024-12-10T01:00:00Z,86.5,0.522042,0.0,1.0979940165499638,1.1640371933108506,0.522042,-0.5759520165499638,-0.6419951933108506,0.54062307,0.0185810699999999,23.69,45.5968185483,35.451353835378335,62.929332356698566
2024-12-10T01:15:00Z,86.5,0.515283,0.0,1.0979940165499638,1.1640371933108506,0.515283,-0.5827110165499637,-0.6487541933108506,0.53545888,0.0201758799999999,52.15,45.624151642,35.478686929078336,62.95666545039857
2024-12-10T01:30:00Z,86.5,0.512089,0.0,1.0979940165499638,1.1640371933108506,0.512089,-0.5859050165499637,-0.6519481933108506,0.53234552,0.02025652,32.56,44.9552507912,34.809786078278336,62.28776459959857
2024-12-10T01:45:00Z,86.5,0.508482,0.0,1.0979940165499638,1.1640371933108506,0.508482,-0.5895120165499638,-0.6555551933108507,0.52945703,0.02097503,33.45,44.685307753500005,34.53984304057834,62.01782156189857
2024-12-10T02:00:00Z,83.7,0.5053759999999999,0.0,1.0979940165499638,1.1640371933108506,0.5053759999999999,-0.5926180165499638,-0.6586611933108507,0.52728582,0.02190982,57.59,43.56175773379999,36.49067626721823,64.15357568346894
2024-12-10T02:15:00Z,83.7,0.50422,0.0,1.0979940165499638,1.1640371933108506,0.50422,-0.5937740165499638,-0.6598171933108506,0.52336764,0.01914764,95.75,44.03660053,36.965519063418235,64.62841847966895
2024-12-10T02:30:00Z,83.7,0.503095,0.0,1.0979940165499638,1.1640371933108506,0.503095,-0.5948990165499638,-0.6609421933108507,0.52227841,0.01918341,52.34,43.1131111794,36.042029712818234,63.704929129068944
2024-12-10T02:45:00Z,83.7,0.506027,0.0,1.0979940165499638,1.1640371933108506,0.506027,-0.5919670165499638,-0.6580101933108506,0.52447916,0.01845216,43.32,43.153807471200004,36.08272600461824,63.74562542086895
2024-12-10T03:00:00Z,87.21,0.511153,0.0,1.0979940165499638,1.1640371933108506,0.511153,-0.5868410165499638,-0.6528841933108507,0.52897345,0.0178204499999999,-3.33,44.5183110315,33.59327056682787,61.024358432647865
2024-12-10T03:15:00Z,87.21,0.519938,0.0,1.0979940165499638,1.1640371933108506,0.519938,-0.5780560165499637,-0.6440991933108506,0.53750007,0.0175620699999999,4.38,45.4207148466,34.49567438192787,61.926762247747874
2024-12-10T03:30:00Z,87.21,0.529779,0.0,1.0979940165499638,1.1640371933108506,0.529779,-0.5682150165499638,-0.6342581933108506,0.54645747,0.01667847,-1.07,46.1841806271,35.25914016242787,62.69022802824787
2024-12-10T03:45:00Z,87.21,0.540918,0.0,1.0979940165499638,1.1640371933108506,0.540918,-0.5570760165499637,-0.6231191933108506,0.55749202,0.0165740199999999,3.24,47.227158604799996,36.30211814012787,63.733206005947864
2024-12-10T04:00:00Z,89.07,0.553234,0.0,1.0979940165499638,1.1640371933108506,0.553234,-0.5447600165499638,-0.6108031933108506,0.57019749,0.0169634899999999,61.31,50.31658395189999,37.34927461644493,64.65752217348968
2024-12-10T04:15:00Z,89.07,0.5787649999999999,0.0,1.0979940165499638,1.1640371933108506,0.5787649999999999,-0.5192290165499639,-0.5852721933108508,0.59263505,0.0138700500000001,75.03,52.59126840149999,39.623959066044925,66.93220662308968
2024-12-10T04:30:00Z,89.07,0.629875,0.0,1.0979940165499638,1.1640371933108506,0.629875,-0.4681190165499638,-0.5341621933108507,0.64530782,0.01543282,124.11,58.0183335402,45.051024204744934,72.35927176178969
2024-12-10T04:45:00Z,89.07,0.7193109999999999,0.0,1.0979940165499638,1.1640371933108506,0.7193109999999999,-0.3786830165499638,-0.4447261933108507,0.73587203,0.01656103,113.08,65.94175204239998,52.97444270694493,80.28269026398968
2024-12-10T05:00:00Z,112.06,0.8541899999999999,0.0,1.0979940165499638,1.1640371933108506,0.8541899999999999,-0.2438040165499638,-0.3098471933108507,0.87330847,0.0191184700000001,-200.27,91.89167541309996,53.681483637161236,79.47139856047319
2024-12-10T05:15:00Z,112.06,1.018813,0.0,1.0979940165499638,1.1640371933108506,1.018813,-0.0791810165499637,-0.1452241933108506,1.03821048,0.01939748,-5.65,114.058589018,75.84839724206127,101.63831216537324
2024-12-10T05:30:00Z,112.06,1.190487,0.0,1.0979940165499638,1.1640371933108506,1.190487,0.0924929834500363,0.0264498066891494,1.22115306,0.0306660599999999,27.39,134.24591660340002,96.03572482746127,121.82563975077323
2024-12-10T05:45:00Z,112.06,1.3472559999999998,0.0,1.0979940165499638,1.1640371933108506,1.3472559999999998,0.249261983450036,0.1832188066891491,1.38694277,0.0396867700000003,66.02,153.5936279154,115.38343613946125,141.1733510627732
2024-12-10T06:00:00Z,135.18,1.471719,0.0,1.0979940165499638,1.1640371933108506,1.471719,0.3737249834500362,0.3076818066891493,1.51939999,0.0476809899999999,42.05,200.9519600495,137.3561466109261,161.61914328752636
2024-12-10T06:15:00Z,135.18,1.566676,0.0,1.0979940165499638,1.1640371933108506,1.566676,0.4686819834500362,0.4026388066891493,1.61851244,0.0518364399999999,187.04,221.4787494176,157.8829359790261,182.14593265562635
2024-12-10T06:30:00Z,135.18,1.638456,0.0,1.0979940165499638,1.1640371933108506,1.638456,0.5404619834500362,0.4744188066891492,1.67432861,0.0358726100000001,192.48,228.3912420528,164.7954286142261,189.05842529082636
2024-12-10T06:45:00Z,135.18,1.694373,0.0,1.0979940165499638,1.1640371933108506,1.694373,0.5963789834500361,0.5303358066891493,1.7343074,0.0399344000000001,207.2,237.31974982000003,173.7239363814261,197.98693305802635
2024-12-10T07:00:00Z,169.76,1.740526,0.0,1.5691057262391754,1.6977440060828393,1.740526,0.1714202737608245,0.0427819939171607,1.78245454,0.04192854,43.96,297.31487237839997,156.57277606977348,198.86845070837506
