month,UNHEDGED,COARSE_CAL,GRANULAR
2024-01-01 00:00:00+01:00,81.3933134829947,81.51496103612025,80.1100576069179
2024-02-01 00:00:00+01:00,64.88166917821015,79.03873692426995,63.617221383319844
2024-03-01 00:00:00+01:00,66.60384845677437,78.43591856066759,65.35742253460307
2024-04-01 00:00:00+02:00,63.28715331466334,79.2867946081528,66.15175178115805
2024-05-01 00:00:00+02:00,66.42397190768052,80.55464666817403,66.29387280959887
2024-06-01 00:00:00+02:00,74.49060377306627,80.97236948697211,67.30436294657687
2024-07-01 00:00:00+02:00,66.93569938243411,81.7414151036814,74.8839732413359
2024-08-01 00:00:00+02:00,79.91564661156757,77.40667321918244,72.94685480962156
2024-09-01 00:00:00+02:00,78.91120329882186,78.49125194275598,74.23936410178598
2024-10-01 00:00:00+02:00,90.99128490926643,80.56056414319121,110.15641533788542
2024-11-01 00:00:00+01:00,121.71552015092767,82.76691493739082,108.38609590412759
2024-12-01 00:00:00+01:00,119.36274515284701,86.4833938066263,110.70119128233561
